date,symbol,close,volume
2025-06-02,SCOM,30.28,247047
2025-06-03,SCOM,30.68,356130
2025-06-04,SCOM,30.21,2763883
2025-06-05,SCOM,29.73,1284836
2025-06-06,SCOM,30.12,2019653
2025-06-09,SCOM,29.88,137083
2025-06-10,SCOM,30.35,2150685
2025-06-11,SCOM,30.56,522248
2025-06-12,SCOM,31.05,770425
2025-06-13,SCOM,30.94,170888
2025-06-16,SCOM,31.14,881861
2025-06-17,SCOM,31.18,1094581
2025-06-18,SCOM,30.86,2879356
2025-06-19,SCOM,30.98,1676925
2025-06-20,SCOM,30.78,2690043
2025-06-23,SCOM,30.64,342945
2025-06-24,SCOM,31.08,1852633
2025-06-25,SCOM,30.66,2504089
2025-06-26,SCOM,30.78,2544377
2025-06-27,SCOM,30.26,2357240
2025-06-30,SCOM,29.89,231657
2025-07-01,SCOM,30.54,948153
2025-07-02,SCOM,30.54,2662341
2025-07-03,SCOM,30.68,1089450
2025-07-04,SCOM,31.19,150329
2025-07-07,SCOM,30.84,530661
2025-07-08,SCOM,30.77,2001015
2025-07-09,SCOM,30.67,2963819
2025-07-10,SCOM,30.31,843848
2025-07-11,SCOM,30.97,1265286
2025-07-14,SCOM,30.98,1106346
2025-07-15,SCOM,31.15,660632
2025-07-16,SCOM,30.84,1189967
2025-07-17,SCOM,30.71,724068
2025-07-18,SCOM,30.24,2675475
2025-07-21,SCOM,29.94,1142103
2025-07-22,SCOM,29.64,489130
2025-07-23,SCOM,30.00,2651653
2025-07-24,SCOM,29.93,610364
2025-07-25,SCOM,29.81,2060035
2025-07-28,SCOM,29.61,1445172
2025-07-29,SCOM,29.39,608571
2025-07-30,SCOM,29.42,2968934
2025-07-31,SCOM,28.94,2096561
2025-08-01,SCOM,28.57,966041
2025-08-04,SCOM,28.34,1617100
2025-08-05,SCOM,28.70,2439875
2025-08-06,SCOM,28.26,1847064
2025-08-07,SCOM,27.98,2840422
2025-08-08,SCOM,28.07,1991308
2025-08-11,SCOM,27.64,2931680
2025-08-12,SCOM,27.54,2551469
2025-08-13,SCOM,27.73,2453948
2025-08-14,SCOM,27.44,1043665
2025-08-15,SCOM,27.58,2466125
2025-08-18,SCOM,27.50,350055
2025-08-19,SCOM,27.20,2347068
2025-08-20,SCOM,26.77,837996
2025-08-21,SCOM,27.31,1885534
2025-08-22,SCOM,27.43,118237
2025-08-25,SCOM,27.84,2069915
2025-08-26,SCOM,27.50,888421
2025-08-27,SCOM,27.92,2822388
2025-08-28,SCOM,28.41,2843403
2025-08-29,SCOM,28.91,2611510
2025-09-01,SCOM,28.87,532294
2025-09-02,SCOM,28.69,1777153
2025-09-03,SCOM,28.20,191180
2025-09-04,SCOM,28.27,770897
2025-09-05,SCOM,28.86,2451441
2025-09-08,SCOM,29.27,85240
2025-09-09,SCOM,29.59,404154
2025-09-10,SCOM,29.46,97102
2025-09-11,SCOM,29.68,1544929
2025-09-12,SCOM,29.48,2471372
2025-09-15,SCOM,29.17,2952511
2025-09-16,SCOM,29.83,1707727
2025-09-17,SCOM,30.24,2487651
2025-09-18,SCOM,30.59,1824716
2025-09-19,SCOM,30.15,1771903
2025-09-22,SCOM,29.76,1820951
2025-09-23,SCOM,29.74,2449411
2025-09-24,SCOM,29.47,2486782
2025-09-25,SCOM,29.53,2243714
2025-09-26,SCOM,29.69,2724198
2025-09-29,SCOM,30.00,608387
2025-09-30,SCOM,29.72,1331297
2025-10-01,SCOM,29.96,603537
2025-10-02,SCOM,30.00,466160
2025-10-03,SCOM,30.11,2918372
2025-10-06,SCOM,30.17,1851806
2025-10-07,SCOM,30.22,2069996
2025-10-08,SCOM,29.89,335684
2025-10-09,SCOM,29.94,1107561
2025-10-10,SCOM,30.58,783064
2025-10-13,SCOM,30.32,2298628
2025-10-14,SCOM,30.76,2271929
2025-10-15,SCOM,30.98,531406
2025-10-16,SCOM,30.49,2464731
2025-10-17,SCOM,31.00,1054988
2025-10-20,SCOM,31.55,2967733
2025-10-21,SCOM,31.09,1160537
2025-10-22,SCOM,30.80,128322
2025-10-23,SCOM,30.90,606558
2025-10-24,SCOM,31.34,1124490
2025-10-27,SCOM,31.94,2893773
2025-10-28,SCOM,31.67,1178517
2025-10-29,SCOM,32.02,1739283
2025-10-30,SCOM,32.74,1307135
2025-10-31,SCOM,32.60,2886115
2025-11-03,SCOM,32.89,1865415
2025-11-04,SCOM,32.36,2528635
2025-11-05,SCOM,32.43,526094
2025-11-06,SCOM,32.20,1486388
2025-11-07,SCOM,32.29,559407
2025-11-10,SCOM,32.61,340706
2025-11-11,SCOM,32.18,2355039
2025-11-12,SCOM,32.46,1421199
2025-11-13,SCOM,33.07,2146601
2025-11-14,SCOM,33.35,179083
2025-11-17,SCOM,33.59,1795043
2025-11-18,SCOM,33.89,1210318
2025-11-19,SCOM,34.47,972639
2025-11-20,SCOM,34.33,234553
2025-11-21,SCOM,34.25,447428
2025-11-24,SCOM,34.38,783862
2025-11-25,SCOM,35.03,1957567
2025-11-26,SCOM,34.71,2415884
2025-11-27,SCOM,35.07,972334
2025-11-28,SCOM,35.81,1338522
2025-12-01,SCOM,36.31,1878858
2025-12-02,SCOM,36.85,1377886
2025-12-03,SCOM,36.23,2600588
2025-12-04,SCOM,36.43,160197
2025-12-05,SCOM,36.57,2189310
2025-12-08,SCOM,36.25,2069993
2025-12-09,SCOM,36.72,1801057
2025-12-10,SCOM,37.12,877932
2025-12-11,SCOM,37.28,1068495
2025-12-12,SCOM,38.09,2659346
2025-12-15,SCOM,38.34,2653989
2025-12-16,SCOM,38.70,763083
2025-12-17,SCOM,38.77,1841223
2025-12-18,SCOM,39.53,1944874
2025-12-19,SCOM,38.87,1919194
2025-12-22,SCOM,38.49,2327484
2025-12-23,SCOM,39.16,2426507
2025-12-24,SCOM,39.43,729765
2025-12-25,SCOM,39.07,2761593
2025-12-26,SCOM,38.60,2551010
2025-12-29,SCOM,39.32,2185515
2025-12-30,SCOM,39.83,312501
2025-12-31,SCOM,39.30,443847
2026-01-01,SCOM,38.76,1585888
2026-01-02,SCOM,39.43,1511128
2026-01-05,SCOM,39.72,196881
2026-01-06,SCOM,40.33,1165664
2026-01-07,SCOM,39.78,1203773
2026-01-08,SCOM,39.47,2844111
2026-01-09,SCOM,39.26,745790
2026-01-12,SCOM,39.04,2562862
2026-01-13,SCOM,38.66,1080148
2026-01-14,SCOM,39.06,2357054
2026-01-15,SCOM,38.60,327435
2026-01-16,SCOM,38.62,1504518
2026-01-19,SCOM,38.26,2840478
2026-01-20,SCOM,38.43,320081
2026-01-21,SCOM,38.30,2605751
2026-01-22,SCOM,37.76,1011258
2026-01-23,SCOM,38.22,2841532
2026-01-26,SCOM,37.82,1233506
2026-01-27,SCOM,38.10,1056929
2026-01-28,SCOM,37.66,288378
2026-01-29,SCOM,37.90,311120
